domain_length,domain_num_of_unique_char ,domain_num_of_unique_letters ,domain_num_of_unique_numbers ,ratio_of_letters_of_domain_name ,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,domain_class
28,16,12,4,0.607142857,0.392857143,0.75,0.25,dga
27,19,11,8,0.518518519,0.481481481,0.578947368,0.421052632,dga
27,17,13,4,0.740740741,0.259259259,0.764705882,0.235294118,dga
28,19,12,7,0.535714286,0.464285714,0.631578947,0.368421053,dga
25,20,12,8,0.6,0.4,0.6,0.4,dga
7,6,4,2,0.571428571,0.428571429,0.666666667,0.333333333,legit
26,17,12,5,0.615384615,0.384615385,0.705882353,0.294117647,dga
27,19,12,7,0.592592593,0.407407407,0.631578947,0.368421053,dga
26,16,11,5,0.615384615,0.384615385,0.6875,0.3125,dga
9,8,6,2,0.666666667,0.333333333,0.75,0.25,legit
25,15,11,4,0.56,0.44,0.733333333,0.266666667,dga
8,7,5,2,0.625,0.375,0.714285714,0.285714286,legit
9,8,6,2,0.666666667,0.333333333,0.75,0.25,legit
25,18,9,9,0.52,0.48,0.5,0.5,dga
27,14,6,8,0.37037037,0.62962963,0.428571429,0.571428571,dga
26,18,11,7,0.461538462,0.538461538,0.611111111,0.388888889,dga
26,17,11,6,0.615384615,0.384615385,0.647058824,0.352941176,dga
28,17,10,7,0.5,0.5,0.588235294,0.411764706,dga
27,16,11,5,0.592592593,0.407407407,0.6875,0.3125,dga
26,16,11,5,0.615384615,0.384615385,0.6875,0.3125,dga
27,18,12,6,0.62962963,0.37037037,0.666666667,0.333333333,dga
28,17,12,5,0.571428571,0.428571429,0.705882353,0.294117647,dga
27,17,9,8,0.555555556,0.444444444,0.529411765,0.470588235,dga
26,17,12,5,0.615384615,0.384615385,0.705882353,0.294117647,dga
28,16,11,5,0.571428571,0.428571429,0.6875,0.3125,dga
26,18,13,5,0.730769231,0.269230769,0.722222222,0.277777778,dga
26,19,10,9,0.5,0.5,0.526315789,0.473684211,dga
26,19,10,9,0.461538462,0.538461538,0.526315789,0.473684211,dga
26,20,15,5,0.730769231,0.269230769,0.75,0.25,dga
26,16,13,3,0.730769231,0.269230769,0.8125,0.1875,dga
26,19,12,7,0.538461538,0.461538462,0.631578947,0.368421053,dga
27,19,14,5,0.703703704,0.296296296,0.736842105,0.263157895,dga
27,19,14,5,0.703703704,0.296296296,0.736842105,0.263157895,dga
27,15,10,5,0.592592593,0.407407407,0.666666667,0.333333333,dga
26,19,13,6,0.692307692,0.307692308,0.684210526,0.315789474,dga
7,6,5,1,0.714285714,0.285714286,0.833333333,0.166666667,legit
27,15,12,3,0.740740741,0.259259259,0.8,0.2,dga
26,16,10,6,0.576923077,0.423076923,0.625,0.375,dga
26,15,11,4,0.692307692,0.307692308,0.733333333,0.266666667,dga
27,18,11,7,0.518518519,0.481481481,0.611111111,0.388888889,dga
27,20,15,5,0.703703704,0.296296296,0.75,0.25,dga
26,18,14,4,0.769230769,0.230769231,0.777777778,0.222222222,dga
27,17,11,6,0.592592593,0.407407407,0.647058824,0.352941176,dga
26,20,16,4,0.730769231,0.269230769,0.8,0.2,dga
25,17,12,5,0.68,0.32,0.705882353,0.294117647,dga
26,17,11,6,0.615384615,0.384615385,0.647058824,0.352941176,dga
28,17,11,6,0.535714286,0.464285714,0.647058824,0.352941176,dga
26,18,14,4,0.730769231,0.269230769,0.777777778,0.222222222,dga
27,19,14,5,0.666666667,0.333333333,0.736842105,0.263157895,dga
26,18,14,4,0.692307692,0.307692308,0.777777778,0.222222222,dga
7,6,5,1,0.714285714,0.285714286,0.833333333,0.166666667,legit
7,6,5,1,0.714285714,0.285714286,0.833333333,0.166666667,legit
27,16,11,5,0.518518519,0.481481481,0.6875,0.3125,dga
25,20,15,5,0.68,0.32,0.75,0.25,dga
27,18,12,6,0.555555556,0.444444444,0.666666667,0.333333333,dga
27,20,16,4,0.666666667,0.333333333,0.8,0.2,dga
27,17,12,5,0.555555556,0.444444444,0.705882353,0.294117647,dga
26,16,10,6,0.461538462,0.538461538,0.625,0.375,dga
25,15,10,5,0.52,0.48,0.666666667,0.333333333,dga
26,15,12,3,0.769230769,0.230769231,0.8,0.2,dga
9,7,6,1,0.777777778,0.222222222,0.857142857,0.142857143,legit
27,15,11,4,0.666666667,0.333333333,0.733333333,0.266666667,dga
27,19,13,6,0.592592593,0.407407407,0.684210526,0.315789474,dga
27,20,15,5,0.703703704,0.296296296,0.75,0.25,dga
26,19,13,6,0.615384615,0.384615385,0.684210526,0.315789474,dga
28,16,11,5,0.571428571,0.428571429,0.6875,0.3125,dga
